CustomerID,Tenure_months,Plan,MonthlyCharge,TotalSpend,DataUsage_GB,ServiceCalls,AutoPay,Churned
BMC00088,19,Standard,408.57,7959.32,74.1,3,No,No
BMC00089,40,Family,962.99,37339.3,9.5,2,Yes,No
BMC00090,45,Standard,416.87,19079.39,12.8,0,No,No
BMC00091,31,Standard,397.42,12163.24,9.3,0,No,No
BMC00092,31,Family,1083.71,33181.21,66.8,0,No,No
BMC00093,36,Standard,386.11,14419.64,15.8,3,Yes,No
BMC00094,11,Premium,739.45,8034.25,15.6,0,No,No
BMC00095,25,Premium,757.08,18417.56,43.0,3,Yes,No
BMC00096,31,Family,1081.36,32022.5,40.3,1,Yes,No
BMC00097,54,Standard,435.55,24160.59,63.4,0,No,No
BMC00098,12,Standard,414.09,4905.67,10.9,3,Yes,No
BMC00099,11,Premium,723.69,8114.53,25.9,2,Yes,No
BMC00100,24,Standard,400.88,9610.44,15.2,0,Yes,No
BMC00101,39,Basic,203.01,7640.18,73.9,2,Yes,No
BMC00102,31,Family,1096.8,32683.41,24.7,3,No,Yes
BMC00103,24,Standard,405.98,9878.1,41.2,3,No,Yes
BMC00104,22,Basic,193.29,4246.93,49.3,0,Yes,Yes
BMC00105,34,Standard,438.17,14187.69,17.5,2,Yes,No
BMC00106,36,Standard,393.49,14470.49,4.1,1,No,Yes
BMC00107,35,Premium,708.96,25958.03,48.0,2,Yes,No
BMC00108,35,Basic,218.36,7376.68,4.4,5,No,Yes
BMC00109,23,Basic,213.49,4813.78,3.0,3,Yes,No
BMC00110,17,Standard,411.84,7154.57,10.0,2,No,No
BMC00111,22,Standard,432.87,9177.33,42.9,0,No,Yes
BMC00112,1,Premium,741.34,725.32,58.2,5,No,Yes
BMC00113,1,Standard,416.86,398.14,3.2,4,Yes,Yes
BMC00114,31,Family,1077.59,32574.33,2.7,1,Yes,No
BMC00115,41,Standard,404.64,16285.81,33.3,3,No,No
BMC00116,12,Premium,689.46,8094.01,22.8,6,Yes,Yes
BMC00117,44,Premium,695.84,30215.63,79.1,1,No,No
BMC00118,33,Family,966.65,31623.7,48.2,7,No,No
BMC00119,31,Basic,200.38,6168.6,38.4,0,No,Yes
BMC00120,14,Basic,216.42,3054.39,8.7,2,Yes,No
BMC00121,1,Standard,392.43,383.34,57.6,2,No,Yes
BMC00122,3,Basic,199.74,593.35,7.0,1,No,Yes
BMC00123,33,Basic,192.48,6190.12,74.6,0,Yes,No
BMC00124,20,Basic,201.34,4206.61,40.9,0,Yes,No
BMC00125,49,Basic,191.39,9351.3,21.8,0,Yes,No
BMC00126,35,Standard,408.73,14471.14,17.9,0,Yes,No
BMC00127,38,Basic,193.61,7500.01,31.4,5,Yes,Yes
BMC00128,26,Basic,191.82,4981.54,39.3,2,No,Yes
BMC00129,23,Standard,433.9,9786.06,56.7,2,Yes,No
BMC00130,34,Standard,391.56,13282.19,27.3,0,No,No
BMC00131,48,Standard,389.14,19499.04,57.2,0,No,No
BMC00132,26,Standard,413.14,10839.6,58.5,2,Yes,No
BMC00133,4,Premium,711.42,2826.01,57.0,1,Yes,No
BMC00134,25,Basic,194.95,4633.63,42.9,2,Yes,No
BMC00135,30,Standard,390.33,11241.12,48.3,0,No,No
BMC00136,77,Basic,213.15,17214.68,37.5,0,Yes,No
BMC00137,20,Premium,695.22,14497.98,25.4,1,Yes,No
BMC00138,47,Standard,428.94,19432.75,11.9,0,Yes,No
BMC00139,41,Premium,695.86,27704.99,28.9,4,No,No
BMC00140,10,Standard,436.77,4491.24,49.9,6,Yes,No
BMC00141,48,Basic,195.63,9276.82,3.2,6,Yes,Yes
BMC00142,39,Premium,714.96,26677.67,68.5,1,Yes,No
BMC00143,1,Premium,677.33,685.25,9.3,1,No,Yes
BMC00144,48,Standard,416.25,19047.51,34.4,5,No,Yes
BMC00145,50,Standard,394.16,20055.96,45.0,4,No,No
BMC00146,37,Basic,189.66,6930.49,69.6,1,Yes,No
BMC00147,35,Standard,391.36,13260.97,19.2,2,Yes,No
BMC00148,25,Standard,430.49,10798.73,71.6,1,Yes,No
BMC00149,32,Basic,193.74,6437.74,68.4,2,Yes,No
BMC00150,26,Standard,432.82,11327.3,64.1,1,No,Yes
BMC00151,70,Standard,413.28,28420.2,44.7,5,Yes,No
BMC00152,59,Standard,413.01,24624.29,10.8,7,No,No
BMC00153,40,Standard,391.07,15229.0,41.1,1,No,No
BMC00154,41,Premium,731.42,31140.53,40.9,2,Yes,No
BMC00155,26,Premium,767.2,19958.88,38.6,4,Yes,Yes
BMC00156,18,Family,996.77,18223.21,9.1,3,No,No
BMC00157,1,Basic,215.97,215.1,46.1,6,Yes,No
BMC00158,8,Basic,213.44,1637.64,5.8,1,Yes,No
BMC00159,53,Family,1045.49,55053.54,10.4,1,Yes,No
BMC00160,30,Standard,391.75,12233.51,49.1,2,No,No
BMC00161,4,Standard,426.58,1686.23,74.0,2,No,Yes
BMC00162,30,Premium,677.39,20703.32,7.7,0,No,No
BMC00163,23,Premium,736.3,17740.52,7.7,4,Yes,Yes
BMC00164,66,Standard,418.64,28059.54,44.9,2,Yes,No
BMC00165,53,Premium,705.39,38466.05,59.7,3,No,No
BMC00166,1,Standard,438.59,448.98,27.5,0,No,No
BMC00167,71,Standard,404.34,29868.27,72.9,7,Yes,No
BMC00168,55,Standard,389.04,20684.01,66.0,1,No,No
BMC00169,10,Standard,434.69,4501.88,37.7,2,Yes,No
BMC00170,9,Standard,390.37,3369.12,62.9,1,Yes,No
BMC00171,1,Basic,215.48,209.79,70.9,3,Yes,Yes
BMC00172,32,Standard,395.84,12958.25,52.9,2,No,No
BMC00173,78,Family,982.32,74255.92,10.0,2,No,No
BMC00174,21,Standard,436.01,9168.79,21.9,4,Yes,Yes
BMC00175,2,Basic,217.88,428.82,65.5,4,No,Yes
BMC00176,41,Basic,210.64,8814.31,69.7,6,Yes,No
BMC00177,33,Basic,214.66,7266.5,44.7,0,Yes,No
BMC00178,28,Standard,411.34,11682.72,77.5,0,No,Yes
BMC00179,32,Basic,213.96,7096.01,6.6,0,No,Yes
BMC00180,49,Family,1003.37,51122.73,35.4,0,No,Yes
BMC00181,17,Family,979.3,17199.6,38.2,0,No,No
BMC00182,50,Standard,408.86,20131.06,72.8,0,No,No
BMC00183,24,Standard,419.98,9823.01,14.0,3,Yes,No
BMC00184,38,Standard,422.51,16529.03,58.1,2,No,No
BMC00185,21,Premium,716.27,15461.36,42.3,0,No,No
BMC00186,18,Basic,194.51,3326.37,7.9,5,No,No
BMC00187,1,Basic,217.4,214.05,79.6,7,Yes,Yes
BMC00188,1,Basic,194.25,194.38,69.5,4,No,Yes
BMC00189,27,Standard,399.16,10908.1,64.4,2,Yes,No
BMC00190,19,Premium,691.65,12749.12,16.7,1,No,No
BMC00191,15,Premium,758.1,11913.89,41.3,2,Yes,No
BMC00192,12,Basic,199.72,2475.96,76.5,1,Yes,No
BMC00193,53,Standard,396.44,21708.2,9.0,0,Yes,No
BMC00194,1,Basic,211.11,203.85,13.7,3,No,Yes
BMC00195,16,Premium,699.19,11737.49,49.2,2,Yes,No
BMC00196,35,Premium,704.18,24264.97,48.7,0,Yes,No
BMC00197,22,Standard,387.27,8274.31,42.3,3,No,Yes
BMC00198,32,Premium,676.13,21378.14,47.8,0,Yes,No
BMC00199,18,Premium,741.27,13986.06,25.7,0,Yes,No
BMC00200,47,Standard,410.06,18860.09,62.8,0,No,Yes
BMC00201,36,Standard,410.05,15142.46,68.0,1,Yes,No
BMC00202,44,Basic,216.98,9215.7,3.9,0,Yes,No
BMC00203,66,Standard,431.03,28456.59,8.3,2,Yes,No
BMC00204,31,Family,1003.14,30853.79,38.2,3,Yes,No
BMC00205,36,Standard,406.25,14577.16,74.6,5,Yes,Yes
BMC00206,23,Premium,743.89,17759.67,79.8,5,Yes,Yes
BMC00207,56,Family,1071.11,62693.21,62.7,5,No,No
BMC00208,4,Premium,664.91,2682.51,68.0,2,No,No
BMC00209,21,Premium,731.59,14980.58,43.0,5,Yes,No
BMC00210,72,Premium,709.63,51169.64,43.6,0,Yes,No
BMC00211,16,Standard,431.15,7053.35,15.2,0,Yes,No
BMC00212,36,Basic,198.06,6946.93,60.5,0,Yes,No
BMC00213,31,Family,985.24,30166.42,5.6,1,No,No
BMC00214,21,Family,973.65,19451.94,11.1,6,Yes,Yes
BMC00215,63,Basic,196.6,12456.69,37.3,1,No,Yes
BMC00216,32,Family,991.8,32154.83,42.2,3,Yes,No
BMC00217,43,Basic,208.2,9221.82,54.3,4,Yes,Yes
BMC00218,61,Family,1083.25,67590.07,31.6,3,Yes,No
BMC00219,32,Basic,198.69,6462.29,35.0,0,No,No
BMC00220,32,Premium,703.32,22924.03,36.0,1,Yes,No
BMC00221,7,Basic,215.59,1521.35,62.9,2,Yes,No
BMC00222,34,Family,1079.4,35164.45,61.6,0,Yes,No
BMC00223,32,Standard,420.2,13766.74,32.5,6,No,No
BMC00224,47,Premium,694.9,33183.15,50.4,0,No,No
BMC00225,19,Premium,725.69,14066.92,45.1,3,No,No
BMC00226,57,Premium,766.34,44579.95,63.7,2,No,No
BMC00227,8,Family,1033.9,8168.95,23.1,4,Yes,No
BMC00228,48,Family,1058.01,50451.75,61.0,2,No,No
BMC00229,40,Basic,208.17,7939.18,67.1,2,No,No
BMC00230,34,Basic,197.99,6967.99,7.2,0,No,Yes
BMC00231,17,Premium,722.04,12284.19,76.9,0,No,No
BMC00232,37,Standard,421.98,15559.37,36.5,4,Yes,No
BMC00233,25,Standard,418.11,10561.83,46.5,1,Yes,No
BMC00234,27,Basic,206.03,5620.26,9.1,5,No,Yes
BMC00235,55,Standard,411.47,22721.49,2.8,1,No,No
BMC00236,30,Family,1001.33,29761.42,12.4,0,No,No
BMC00237,8,Premium,760.71,6324.02,55.1,1,Yes,No
BMC00238,33,Basic,217.29,7058.78,55.4,0,Yes,No
BMC00239,16,Basic,209.96,3493.73,5.3,0,Yes,No
BMC00240,6,Standard,379.49,2317.9,31.1,0,No,No
BMC00241,17,Premium,697.45,11381.83,39.8,1,No,No
BMC00242,31,Basic,218.84,6875.26,7.0,3,No,No
BMC00243,1,Family,1038.23,1079.18,53.1,0,No,Yes
BMC00244,61,Premium,754.2,46176.38,11.7,3,Yes,No
BMC00245,20,Basic,218.89,4456.58,41.7,1,Yes,Yes
BMC00246,39,Premium,763.96,29303.16,64.6,3,Yes,No
BMC00247,16,Basic,194.61,3127.18,22.8,4,Yes,No
BMC00248,51,Standard,417.6,21136.49,11.8,4,Yes,No
BMC00249,1,Basic,204.62,212.27,61.6,2,Yes,No
BMC00250,22,Standard,407.55,8856.71,40.0,1,Yes,No
BMC00251,6,Premium,673.95,4142.31,13.3,0,Yes,No
BMC00252,36,Standard,386.67,14411.24,30.1,0,Yes,No
BMC00253,17,Standard,412.64,6829.64,36.1,1,No,No
BMC00254,38,Standard,415.66,15104.6,26.0,0,No,No
BMC00255,49,Standard,432.13,20401.21,61.2,4,Yes,No
BMC00256,7,Basic,210.29,1539.14,28.4,2,Yes,No
BMC00257,37,Standard,411.87,15413.82,36.8,5,Yes,Yes
BMC00258,13,Standard,391.62,5190.04,21.4,0,No,No
BMC00259,21,Standard,393.13,8168.9,28.7,0,No,No
BMC00260,40,Basic,203.75,8244.1,74.0,0,No,No
BMC00261,19,Basic,209.51,4135.42,24.4,2,Yes,No
BMC00262,21,Standard,416.01,8558.56,53.2,4,No,No
BMC00263,31,Family,1031.3,30377.15,48.6,1,No,Yes
BMC00264,45,Standard,426.78,19185.77,10.7,0,Yes,No
BMC00265,36,Basic,202.67,7093.37,54.3,0,Yes,No
BMC00266,42,Standard,435.49,18901.99,54.3,4,No,No
BMC00267,18,Standard,384.4,7024.27,66.7,4,Yes,No
BMC00268,10,Family,1091.28,10488.24,39.7,4,Yes,No
BMC00269,61,Premium,687.95,40048.97,67.8,0,No,No
BMC00270,51,Basic,217.49,11341.38,23.1,3,Yes,No
BMC00271,14,Basic,204.83,2921.96,38.7,3,Yes,No
BMC00272,40,Standard,388.41,15358.68,17.0,5,Yes,No
BMC00273,22,Basic,190.88,4355.39,45.3,0,No,No
BMC00274,34,Standard,395.39,13521.11,41.7,0,Yes,No
BMC00275,53,Basic,198.73,10987.93,3.1,7,No,No
BMC00276,51,Basic,195.73,9791.16,6.0,2,No,No
BMC00277,19,Basic,213.4,4185.32,17.6,1,Yes,No
BMC00278,18,Basic,194.16,3622.94,79.3,0,Yes,No
BMC00279,30,Family,1043.71,30774.53,25.2,1,Yes,No
BMC00280,41,Premium,745.16,30869.47,51.0,3,Yes,Yes
BMC00281,36,Standard,421.12,15302.66,44.0,4,Yes,No
BMC00282,29,Premium,707.07,19817.14,33.7,2,Yes,No
BMC00283,2,Premium,728.51,1439.94,18.0,0,No,No
BMC00284,53,Standard,425.13,21796.77,14.1,1,No,No
BMC00285,19,Premium,683.91,12729.18,6.4,2,Yes,No
BMC00286,1,Basic,198.25,190.86,19.0,2,Yes,Yes
BMC00287,7,Standard,438.63,2923.42,32.8,2,No,No
BMC00288,1,Standard,426.8,430.73,69.5,3,No,No
BMC00289,67,Premium,756.09,53082.68,68.7,0,No,Yes
BMC00290,42,Family,981.9,43198.18,12.7,3,No,Yes
BMC00291,31,Standard,429.23,13860.31,54.6,0,Yes,Yes
BMC00292,75,Basic,218.01,15754.6,71.3,5,Yes,No
BMC00293,13,Standard,401.95,5092.5,2.8,0,No,No
BMC00294,36,Basic,206.43,7581.97,36.6,0,Yes,No
BMC00295,45,Basic,215.95,9471.65,71.2,4,Yes,No
BMC00296,52,Standard,413.27,21470.94,24.5,0,No,No
BMC00297,1,Family,1002.66,1035.01,15.1,4,No,Yes
BMC00298,22,Family,989.73,21262.45,72.4,0,Yes,No
BMC00299,23,Family,991.64,22559.46,33.9,0,No,No
BMC00300,53,Basic,215.6,11707.46,64.2,6,No,Yes
BMC00301,26,Standard,410.07,10566.16,42.8,1,Yes,No
BMC00302,20,Premium,722.89,14055.22,68.4,0,Yes,No
BMC00303,37,Family,1078.25,37967.35,50.7,0,Yes,No
BMC00304,46,Family,1079.55,51330.13,66.0,4,Yes,No
BMC00305,21,Standard,403.86,8587.58,49.8,5,Yes,Yes
BMC00306,52,Premium,678.34,35280.06,15.1,2,Yes,No
BMC00307,8,Basic,212.5,1695.12,72.2,4,No,Yes
BMC00308,19,Standard,383.3,7326.67,70.5,3,No,No
BMC00309,42,Basic,191.54,7714.93,43.5,2,Yes,No
BMC00310,61,Family,992.92,59531.91,19.3,5,Yes,No
BMC00311,1,Standard,392.54,393.38,58.6,0,Yes,No
BMC00312,14,Standard,392.08,5697.62,51.2,0,Yes,No
BMC00313,42,Standard,416.6,17579.44,9.4,0,No,No
BMC00314,19,Basic,201.5,3718.73,10.9,0,No,Yes
BMC00315,40,Standard,391.93,15367.91,7.3,4,No,Yes
BMC00316,16,Standard,416.29,6758.9,72.2,7,No,Yes
BMC00317,33,Family,1075.11,36671.43,50.0,3,No,No
BMC00318,40,Basic,193.79,7496.74,3.3,0,No,Yes
BMC00319,42,Premium,753.19,33094.16,71.1,0,Yes,No
BMC00320,57,Family,976.81,56652.34,4.9,2,Yes,Yes
BMC00321,19,Basic,216.33,4000.65,40.1,4,No,Yes
BMC00322,38,Standard,396.29,14393.38,26.9,1,Yes,No
BMC00323,13,Basic,199.75,2605.67,41.8,0,No,No
BMC00324,20,Premium,726.16,14599.32,21.6,0,Yes,No
BMC00325,24,Premium,719.39,16801.9,64.9,1,Yes,No
BMC00326,1,Standard,392.1,394.23,24.2,2,Yes,No
BMC00327,6,Basic,205.07,1291.75,44.7,3,Yes,No
BMC00328,18,Basic,206.99,3575.73,2.0,1,Yes,No
BMC00329,1,Premium,759.41,761.01,40.6,0,Yes,Yes
BMC00330,8,Basic,205.87,1596.62,48.6,0,Yes,No
BMC00331,13,Standard,384.85,4926.7,76.2,0,Yes,No
BMC00332,53,Family,969.98,52329.39,37.9,1,Yes,No
BMC00333,57,Basic,215.74,12899.79,12.5,1,Yes,No
BMC00334,29,Standard,397.72,12066.51,70.2,2,No,No
BMC00335,37,Basic,189.97,6848.11,39.7,2,No,No
BMC00336,30,Standard,406.91,11757.13,67.6,0,Yes,No
BMC00337,29,Premium,691.1,19405.82,65.5,0,Yes,No
BMC00338,58,Basic,216.09,12548.06,33.5,2,Yes,No
BMC00339,30,Basic,198.21,5781.72,18.5,0,No,Yes
BMC00340,15,Basic,217.68,3299.7,46.3,0,Yes,No
BMC00341,40,Standard,437.89,16996.74,71.2,0,Yes,Yes
BMC00342,8,Premium,710.57,5699.67,12.1,0,Yes,No
BMC00343,56,Basic,190.78,10285.32,8.8,1,Yes,No
BMC00344,88,Basic,192.24,17450.39,37.1,3,No,No
BMC00345,51,Basic,215.24,10724.52,47.4,0,No,No
BMC00346,25,Premium,671.08,16894.18,60.8,1,Yes,No
BMC00347,6,Basic,195.22,1133.95,38.2,5,Yes,No
BMC00348,12,Basic,200.38,2466.44,47.9,0,Yes,No
BMC00349,1,Premium,701.07,676.55,3.7,0,No,Yes
BMC00350,44,Premium,709.88,31718.16,39.2,0,Yes,No
BMC00351,31,Basic,208.1,6445.62,39.6,0,No,Yes
BMC00352,22,Standard,432.63,9717.45,64.8,2,Yes,No
BMC00353,29,Basic,199.43,5945.7,57.4,0,No,No
BMC00354,56,Basic,205.72,11381.3,33.7,3,No,No
BMC00355,33,Basic,195.57,6288.35,72.6,0,No,Yes
BMC00356,35,Basic,207.1,7069.9,70.0,0,No,No
BMC00357,18,Basic,203.23,3530.21,64.6,2,Yes,No
BMC00358,19,Premium,745.17,13955.61,7.2,0,Yes,Yes
BMC00359,50,Basic,190.21,9563.27,12.0,3,No,Yes
BMC00360,26,Standard,403.7,10668.58,71.1,3,No,No
BMC00361,14,Premium,719.33,9800.14,74.6,0,Yes,No
BMC00362,49,Premium,693.2,32592.65,15.2,4,Yes,No
BMC00363,11,Basic,193.25,2135.78,76.9,3,Yes,No
BMC00364,1,Basic,203.97,198.75,37.7,1,Yes,No
BMC00365,31,Basic,205.5,6662.4,25.2,2,No,Yes
BMC00366,49,Standard,383.68,18174.44,77.8,0,Yes,Yes
BMC00367,12,Basic,212.76,2617.21,45.3,5,No,No
BMC00368,46,Premium,679.3,31213.43,39.9,0,Yes,No
BMC00369,1,Standard,413.09,403.58,26.1,0,Yes,Yes
BMC00370,60,Premium,760.38,47637.04,13.0,2,No,No
BMC00371,35,Family,1076.25,36511.27,21.2,6,Yes,Yes
BMC00372,49,Basic,198.92,9517.57,17.7,0,No,No
BMC00373,20,Premium,763.72,15692.38,71.0,1,No,No
BMC00374,5,Basic,195.35,968.65,11.0,1,Yes,No
BMC00375,74,Standard,414.28,30149.65,61.8,1,Yes,No
BMC00376,32,Premium,735.1,24097.96,33.4,5,Yes,Yes
BMC00377,59,Premium,733.49,44559.99,75.9,2,Yes,No
BMC00378,1,Standard,379.55,377.82,63.8,3,Yes,No
BMC00379,33,Standard,391.34,12864.35,52.1,0,Yes,No
BMC00380,44,Standard,406.85,18284.84,11.2,1,Yes,No
BMC00381,12,Basic,189.93,2180.6,31.8,3,No,No
BMC00382,24,Basic,205.05,4894.82,53.9,2,No,No
BMC00383,15,Standard,383.58,5782.3,57.6,0,No,Yes
BMC00384,37,Family,990.78,36080.03,72.4,2,Yes,No
BMC00385,1,Premium,762.37,793.65,22.9,5,No,Yes
BMC00386,6,Standard,393.1,2332.97,54.5,0,Yes,No
BMC00387,23,Standard,417.46,9810.58,70.5,3,No,Yes
BMC00388,17,Standard,436.1,7149.84,33.3,0,Yes,No
BMC00389,48,Family,1011.76,47788.83,21.9,1,Yes,No
BMC00390,9,Premium,666.64,5864.6,48.9,1,No,No
BMC00391,22,Premium,718.91,16554.29,17.0,0,Yes,No
BMC00392,33,Standard,424.0,13963.97,49.0,2,No,No
BMC00393,1,Family,975.72,958.9,15.8,1,Yes,No
BMC00394,65,Family,1063.29,66824.39,56.5,3,Yes,No
BMC00395,31,Standard,402.11,12831.31,43.6,3,No,No
BMC00396,13,Family,1066.12,13687.16,44.7,1,Yes,No
BMC00397,7,Standard,430.53,3061.15,53.6,0,Yes,No
BMC00398,5,Basic,200.3,1025.19,51.6,4,Yes,No
BMC00399,39,Standard,390.85,15810.63,51.0,0,No,No
BMC00400,39,Basic,210.24,7812.63,75.8,0,Yes,No
BMC00401,27,Premium,684.73,18186.55,34.3,0,Yes,No
BMC00402,36,Standard,425.99,14599.61,10.4,1,Yes,No
BMC00403,21,Premium,672.79,13607.89,5.2,2,Yes,No
BMC00404,70,Standard,389.8,27297.43,57.9,0,No,No
BMC00405,60,Standard,401.3,23892.3,54.4,2,No,No
BMC00406,16,Premium,755.24,12560.69,8.8,0,No,No
BMC00407,53,Premium,720.87,38460.32,25.9,3,Yes,No
BMC00408,31,Standard,404.11,12316.96,11.6,7,No,No
BMC00409,16,Basic,201.24,3366.22,43.7,5,Yes,Yes
BMC00410,9,Premium,716.97,6487.56,40.1,5,Yes,No
BMC00411,21,Basic,210.8,4271.1,64.1,0,Yes,No
BMC00412,6,Basic,191.36,1167.23,65.7,0,Yes,No
BMC00413,9,Family,986.92,8826.88,76.6,4,Yes,No
BMC00414,41,Standard,399.87,15719.81,31.1,1,Yes,No
BMC00415,32,Family,1071.87,33623.68,61.1,0,No,No
BMC00416,3,Family,1021.66,3166.33,39.4,2,No,No
BMC00417,45,Family,1060.18,49761.66,25.4,5,No,Yes
BMC00418,26,Family,1005.4,27009.27,15.3,0,Yes,No
BMC00419,60,Standard,389.25,22211.89,73.4,0,Yes,No
BMC00420,12,Premium,720.34,8646.15,50.1,0,Yes,No
BMC00421,36,Premium,761.14,26884.23,23.8,0,Yes,No
BMC00422,7,Standard,379.19,2680.37,18.5,2,Yes,No
BMC00423,15,Standard,420.33,6257.66,19.2,2,Yes,No
BMC00424,72,Premium,724.25,53891.26,26.8,2,Yes,No
BMC00425,13,Family,1098.48,14228.97,9.1,2,No,No
BMC00426,14,Family,1043.61,14988.42,13.6,0,No,No
BMC00427,7,Family,981.32,6925.19,46.8,1,Yes,No
