Month,Branch,Category,Revenue,Customers
2025-02,Tiruchirappalli,Stationery,61270.39,44
2025-02,Tiruchirappalli,Home,68078.34,83
2025-02,Salem,Textiles,172641.93,137
2025-02,Salem,Electronics,115812.04,93
2025-02,Salem,Groceries,126006.36,151
2025-02,Salem,Stationery,61052.65,59
2025-02,Salem,Home,72945.09,81
2025-03,Chennai,Textiles,353072.31,300
2025-03,Chennai,Electronics,289741.74,267
2025-03,Chennai,Groceries,244611.79,223
2025-03,Chennai,Stationery,99160.44,73
2025-03,Chennai,Home,128608.9,105
2025-03,Coimbatore,Textiles,227275.86,168
2025-03,Coimbatore,Electronics,182776.87,190
2025-03,Coimbatore,Groceries,191899.58,178
2025-03,Coimbatore,Stationery,81372.89,91
2025-03,Coimbatore,Home,105470.25,100
2025-03,Madurai,Textiles,261385.95,240
2025-03,Madurai,Electronics,171743.81,183
2025-03,Madurai,Groceries,161028.51,135
2025-03,Madurai,Stationery,76714.72,65
2025-03,Madurai,Home,97478.25,71
2025-03,Tiruchirappalli,Textiles,182537.33,139
2025-03,Tiruchirappalli,Electronics,168996.85,163
2025-03,Tiruchirappalli,Groceries,143932.95,134
2025-03,Tiruchirappalli,Stationery,69825.48,64
2025-03,Tiruchirappalli,Home,73760.73,78
2025-03,Salem,Textiles,159120.8,133
2025-03,Salem,Electronics,133581.84,131
2025-03,Salem,Groceries,110464.31,125
2025-03,Salem,Stationery,53733.15,37
2025-03,Salem,Home,62776.99,74
2025-04,Chennai,Textiles,346191.36,315
2025-04,Chennai,Electronics,243748.85,207
2025-04,Chennai,Groceries,236814.77,191
2025-04,Chennai,Stationery,105258.2,85
2025-04,Chennai,Home,129054.89,117
2025-04,Coimbatore,Textiles,195526.54,140
2025-04,Coimbatore,Electronics,181755.63,167
2025-04,Coimbatore,Groceries,146426.18,149
2025-04,Coimbatore,Stationery,71933.55,59
2025-04,Coimbatore,Home,87449.65,67
2025-04,Madurai,Textiles,203339.64,214
2025-04,Madurai,Electronics,166163.03,114
2025-04,Madurai,Groceries,149130.25,155
2025-04,Madurai,Stationery,67830.9,62
2025-04,Madurai,Home,67534.64,74
2025-04,Tiruchirappalli,Textiles,168195.67,162
2025-04,Tiruchirappalli,Electronics,136288.96,91
2025-04,Tiruchirappalli,Groceries,101932.57,71
2025-04,Tiruchirappalli,Stationery,46924.98,34
2025-04,Tiruchirappalli,Home,59311.18,54
2025-04,Salem,Textiles,145827.12,146
2025-04,Salem,Electronics,97813.98,66
2025-04,Salem,Groceries,115419.44,143
2025-04,Salem,Stationery,53309.85,62
2025-04,Salem,Home,61415.44,53
2025-05,Chennai,Textiles,247918.96,309
2025-05,Chennai,Electronics,236037.01,157
2025-05,Chennai,Groceries,209641.69,170
2025-05,Chennai,Stationery,90003.67,61
2025-05,Chennai,Home,120860.01,81
2025-05,Coimbatore,Textiles,191037.26,159
2025-05,Coimbatore,Electronics,163240.43,112
2025-05,Coimbatore,Groceries,151659.73,119
2025-05,Coimbatore,Stationery,56771.17,53
2025-05,Coimbatore,Home,67182.55,74
2025-05,Madurai,Textiles,165592.98,144
2025-05,Madurai,Electronics,132805.55,140
2025-05,Madurai,Groceries,142159.12,121
2025-05,Madurai,Stationery,54021.3,50
2025-05,Madurai,Home,62580.53,52
2025-05,Tiruchirappalli,Textiles,141401.54,117
2025-05,Tiruchirappalli,Electronics,108613.98,75
2025-05,Tiruchirappalli,Groceries,97158.78,68
2025-05,Tiruchirappalli,Stationery,58471.18,56
2025-05,Tiruchirappalli,Home,56364.95,55
2025-05,Salem,Textiles,141327.76,127
2025-05,Salem,Electronics,100425.36,107
2025-05,Salem,Groceries,92646.25,91
2025-05,Salem,Stationery,40270.1,31
2025-05,Salem,Home,50050.58,39
2025-06,Chennai,Textiles,341267.32,246
2025-06,Chennai,Electronics,222910.13,275
2025-06,Chennai,Groceries,233640.23,271
2025-06,Chennai,Stationery,81113.49,56
2025-06,Chennai,Home,110750.48,86
2025-06,Coimbatore,Textiles,237713.38,261
2025-06,Coimbatore,Electronics,182075.72,140
2025-06,Coimbatore,Groceries,140962.57,155
2025-06,Coimbatore,Stationery,57902.01,46
2025-06,Coimbatore,Home,92956.69,94
2025-06,Madurai,Textiles,178476.73,208
2025-06,Madurai,Electronics,168478.41,153
2025-06,Madurai,Groceries,119560.44,116
2025-06,Madurai,Stationery,58731.05,55
2025-06,Madurai,Home,77649.16,75
2025-06,Tiruchirappalli,Textiles,182787.53,143
2025-06,Tiruchirappalli,Electronics,148728.88,100
2025-06,Tiruchirappalli,Groceries,124259.56,101
2025-06,Tiruchirappalli,Stationery,55695.6,64
2025-06,Tiruchirappalli,Home,57766.69,49
2025-06,Salem,Textiles,163130.39,176
2025-06,Salem,Electronics,126372.86,90
2025-06,Salem,Groceries,109757.48,75
2025-06,Salem,Stationery,50434.59,53
2025-06,Salem,Home,57724.17,61
2025-07,Chennai,Textiles,318668.89,383
2025-07,Chennai,Electronics,270067.51,199
2025-07,Chennai,Groceries,228901.94,207
2025-07,Chennai,Stationery,102770.86,119
2025-07,Chennai,Home,119813.91,90
2025-07,Coimbatore,Textiles,259747.83,197
2025-07,Coimbatore,Electronics,193037.05,189
2025-07,Coimbatore,Groceries,173896.17,196
2025-07,Coimbatore,Stationery,64604.51,50
2025-07,Coimbatore,Home,101234.16,115
2025-07,Madurai,Textiles,227528.38,162
2025-07,Madurai,Electronics,169917.49,209
2025-07,Madurai,Groceries,138935.07,123
2025-07,Madurai,Stationery,77536.14,67
2025-07,Madurai,Home,76015.81,58
2025-07,Tiruchirappalli,Textiles,179454.96,150
2025-07,Tiruchirappalli,Electronics,151809.35,115
2025-07,Tiruchirappalli,Groceries,119696.35,92
2025-07,Tiruchirappalli,Stationery,67853.56,65
2025-07,Tiruchirappalli,Home,66187.88,73
2025-07,Salem,Textiles,193909.02,141
2025-07,Salem,Electronics,134778.58,98
2025-07,Salem,Groceries,102132.57,109
2025-07,Salem,Stationery,51538.92,62
2025-07,Salem,Home,71002.36,77
2025-08,Chennai,Textiles,354788.45,324
2025-08,Chennai,Electronics,269705.06,320
2025-08,Chennai,Groceries,261584.99,189
2025-08,Chennai,Stationery,109359.06,79
2025-08,Chennai,Home,132800.61,91
2025-08,Coimbatore,Textiles,290479.48,274
2025-08,Coimbatore,Electronics,173685.5,145
2025-08,Coimbatore,Groceries,168217.73,126
2025-08,Coimbatore,Stationery,78215.08,58
2025-08,Coimbatore,Home,100551.05,74
2025-08,Madurai,Textiles,227475.89,170
2025-08,Madurai,Electronics,158429.5,187
2025-08,Madurai,Groceries,152353.68,134
2025-08,Madurai,Stationery,75165.11,64
2025-08,Madurai,Home,88384.53,66
2025-08,Tiruchirappalli,Textiles,221624.43,157
2025-08,Tiruchirappalli,Electronics,164237.44,121
2025-08,Tiruchirappalli,Groceries,123814.05,87
2025-08,Tiruchirappalli,Stationery,61437.16,69
2025-08,Tiruchirappalli,Home,85438.29,62
2025-08,Salem,Textiles,165603.03,184
2025-08,Salem,Electronics,127083.88,128
2025-08,Salem,Groceries,140630.11,117
2025-08,Salem,Stationery,53044.51,48
2025-08,Salem,Home,64602.6,61
2025-09,Chennai,Textiles,387524.66,421
2025-09,Chennai,Electronics,296980.9,335
2025-09,Chennai,Groceries,269410.67,251
2025-09,Chennai,Stationery,135238.47,133
2025-09,Chennai,Home,151438.1,156
2025-09,Coimbatore,Textiles,287364.28,292
2025-09,Coimbatore,Electronics,219459.01,147
2025-09,Coimbatore,Groceries,176968.38,193
2025-09,Coimbatore,Stationery,93481.29,65
2025-09,Coimbatore,Home,103443.88,124
2025-09,Madurai,Textiles,211212.19,164
2025-09,Madurai,Electronics,162349.05,112
2025-09,Madurai,Groceries,156601.56,147
2025-09,Madurai,Stationery,83096.29,59
2025-09,Madurai,Home,90341.83,82
2025-09,Tiruchirappalli,Textiles,230456.58,240
2025-09,Tiruchirappalli,Electronics,167779.45,189
2025-09,Tiruchirappalli,Groceries,156492.63,128
2025-09,Tiruchirappalli,Stationery,60984.07,72
2025-09,Tiruchirappalli,Home,86344.11,57
2025-09,Salem,Textiles,165801.24,197
2025-09,Salem,Electronics,125399.28,108
2025-09,Salem,Groceries,129084.83,128
2025-09,Salem,Stationery,60950.97,42
2025-09,Salem,Home,76297.7,71
2025-10,Chennai,Textiles,505809.42,584
2025-10,Chennai,Electronics,297803.67,230
2025-10,Chennai,Groceries,360849.83,325
2025-10,Chennai,Stationery,135775.89,141
2025-10,Chennai,Home,177845.47,128
2025-10,Coimbatore,Textiles,340407.06,284
2025-10,Coimbatore,Electronics,275148.81,326
2025-10,Coimbatore,Groceries,216439.34,185
2025-10,Coimbatore,Stationery,111490.88,89
2025-10,Coimbatore,Home,141329.58,124
2025-10,Madurai,Textiles,258093.72,204
2025-10,Madurai,Electronics,251800.23,281
2025-10,Madurai,Groceries,228115.66,208
2025-10,Madurai,Stationery,86083.6,76
2025-10,Madurai,Home,125512.97,87
2025-10,Tiruchirappalli,Textiles,271949.01,207
2025-10,Tiruchirappalli,Electronics,173685.61,127
2025-10,Tiruchirappalli,Groceries,181414.79,137
2025-10,Tiruchirappalli,Stationery,75155.56,82
2025-10,Tiruchirappalli,Home,94940.21,64
2025-10,Salem,Textiles,152101.07,236
2025-10,Salem,Electronics,97180.09,104
2025-10,Salem,Groceries,119297.38,196
2025-10,Salem,Stationery,40926.3,44
2025-10,Salem,Home,59114.11,64
2025-11,Chennai,Textiles,485550.16,495
2025-11,Chennai,Electronics,391123.71,276
2025-11,Chennai,Groceries,304964.44,236
2025-11,Chennai,Stationery,169596.8,126
2025-11,Chennai,Home,182203.28,189
2025-11,Coimbatore,Textiles,399096.39,380
2025-11,Coimbatore,Electronics,278795.61,195
2025-11,Coimbatore,Groceries,250290.3,171
2025-11,Coimbatore,Stationery,101546.33,73
2025-11,Coimbatore,Home,144171.92,166
2025-11,Madurai,Textiles,313623.85,261
2025-11,Madurai,Electronics,239104.43,219
2025-11,Madurai,Groceries,230667.72,246
2025-11,Madurai,Stationery,113100.3,92
2025-11,Madurai,Home,131500.46,157
2025-11,Tiruchirappalli,Textiles,329044.64,225
2025-11,Tiruchirappalli,Electronics,223924.02,153
2025-11,Tiruchirappalli,Groceries,210095.79,141
2025-11,Tiruchirappalli,Stationery,101427.39,113
2025-11,Tiruchirappalli,Home,123499.84,84
2025-11,Salem,Textiles,177119.05,199
2025-11,Salem,Electronics,123851.94,150
2025-11,Salem,Groceries,101813.8,144
2025-11,Salem,Stationery,43656.3,52
2025-11,Salem,Home,53034.25,78
2025-12,Chennai,Textiles,389514.42,350
2025-12,Chennai,Electronics,338650.52,229
2025-12,Chennai,Groceries,340588.78,422
2025-12,Chennai,Stationery,135326.35,110
2025-12,Chennai,Home,149599.13,115
2025-12,Coimbatore,Textiles,329764.89,301
2025-12,Coimbatore,Electronics,220223.25,267
2025-12,Coimbatore,Groceries,218775.24,194
2025-12,Coimbatore,Stationery,91643.82,66
2025-12,Coimbatore,Home,104368.86,89
2025-12,Madurai,Textiles,299050.31,203
2025-12,Madurai,Electronics,212926.95,186
2025-12,Madurai,Groceries,192821.9,203
2025-12,Madurai,Stationery,93423.57,86
2025-12,Madurai,Home,105989.46,88
2025-12,Tiruchirappalli,Textiles,220517.97,244
2025-12,Tiruchirappalli,Electronics,186714.98,179
2025-12,Tiruchirappalli,Groceries,173909.51,128
2025-12,Tiruchirappalli,Stationery,75765.92,57
2025-12,Tiruchirappalli,Home,103873.62,104
2025-12,Salem,Textiles,144186.2,201
2025-12,Salem,Electronics,116672.26,155
2025-12,Salem,Groceries,110532.91,161
2025-12,Salem,Stationery,43200.52,47
2025-12,Salem,Home,50812.33,88
